"<img src=""ng-chord-1c2d79501871dd2ee454b8a246be36fe-b_flat_major_esu_f_T_cu__T_a__B.png"">";"A dim"
"<img src=""ng-chord-1c4a5cc0dbc5a04f5a2926c8c4a6f999-f_sharp_major_eisuu_s_T_bu__T_gisu_s_T.png"">";"E♯ dim"
"<img src=""ng-chord-1c6c670f00e1824c0fc69fffc95b3668-d_major_cisuu_s_T_gu__T_eu__B.png"">";"C♯ dim"
"<img src=""ng-chord-1c6cfe0a44b22dfb841ab97520d4d983-d_major_cis_s_B_gl__B_el__B.png"">";"C♯ dim"
"<img src=""ng-chord-1c773a965dfc06b54342f4bf3f3d8691-f_sharp_major_buu__T_gisuu_s_T_disuu_s_T.png"">";"G♯ min"
"<img src=""ng-chord-1cb195ecf06ed0881f8c5494be3b286b-d_major_cisu_s_T_a__T_fis_s_B.png"">";"F♯ min"
"<img src=""ng-chord-1d3a8414093c43b9275618c8434e5474-c_major_cuuu__T_auu__T_euu__T.png"">";"A min"
"<img src=""ng-chord-1d5c4cce85139d4cfe1ad5c7ce8085d9-e_major_fis_s_B_dis_s_B_bl__B.png"">";"B maj"
"<img src=""ng-chord-1d8e46a8f40816917dd85e139c07a2ce-d_major_b__T_fis_s_B_d__B.png"">";"B min"
"<img src=""ng-chord-1dced9c7afe19f595fc042157962bb66-f_sharp_major_disu_s_T_b__B_gis_s_B.png"">";"G♯ min"
"<img src=""ng-chord-1dfd5caf39f0a7e63dd6c422bb3c6542-e_flat_major_f__B_d__B_besl_f_B.png"">";"B♭ maj"
"<img src=""ng-chord-1e0936f88f008b329004c057c4b85cb7-d_flat_major_desuu_f_T_besu_f_T_fu__T.png"">";"B♭ min"
"<img src=""ng-chord-1ef0e612f80098750ea0566e0005f948-g_major_gu__T_eu__T_b__B.png"">";"E min"
"<img src=""ng-chord-1f24e314d7c3bd9c9ff68fb8730cded4-b_major_disu_s_T_b__T_fis_s_B.png"">";"B maj"
"<img src=""ng-chord-1f2f1a16bfa82b4af5857bf9a2c40ffe-e_flat_major_gu__T_esu_f_T_bes_f_T.png"">";"E♭ maj"
"<img src=""ng-chord-1f35cae57d898d265e95927af2d8e231-e_flat_major_esuu_f_T_besu_f_T_gu__T.png"">";"E♭ maj"
"<img src=""ng-chord-1f3d16aca50db8cfd69209f77c23ed75-b_flat_major_fu__T_du__T_bes_f_B.png"">";"B♭ maj"
"<img src=""ng-chord-1f76cebd49dd4961eea049c5e9742a78-g_flat_major_fuu__T_desuu_f_T_besu_f_T.png"">";"B♭ min"
"<img src=""ng-chord-1f7bd646b8de0f645132f0b5da51c6ff-f_major_cuu__T_au__T_fu__T.png"">";"F maj"
"<img src=""ng-chord-1fa98dbc61493588975a7b60c02b4998-g_major_euu__T_cuu__T_gu__T.png"">";"C maj"
"<img src=""ng-chord-1fc4ca8bd3c57f05170e7ce5364c2a56-d_major_du__B_b__B_g__B.png"">";"G maj"
